raw_class,raw_type,canonical_type,canonical_class,status,confidence,notes
ISC Rating System,Beneteau First 31.,,,pending,,
ISC Rating System,HALLBERG RASSY 342,,,pending,,
ISC Rating System,Beneteau First 25.,,,pending,,
ISC Rating System,Alan Buchanan East,,,pending,,
ISC Rating System,Beneteau First 27.,,,pending,,
ISC Rating System,Dehler 38SQ,,,pending,,
ISC Rating System,Dufour 34 Performa,,,pending,,
ISC Rating System,Beneteau Oceanis 3,,,pending,,
ISC Rating System,DEHLER 33 CR MOD (,,,pending,,
ISC Rating System,Hanse 455,,,pending,,
ISC Rating System,Hanse 458,,,pending,,
ISC Rating System,Hustler 35,,,pending,,
ISC Rating System,Hanse 388,,,pending,,
ISC Rating System,Crus Del Sur 32,,,pending,,
ISC Rating System,Dufour 34e,,,pending,,
ISC Rating System,E Boat,,,pending,,
ISC Rating System,Oyster 62,,,pending,,
ISC Rating System,First 35,,,pending,,
ISC Rating System,FIRST 40 2.48 T,,,pending,,
ISC Rating System,Westerly GK 29,,,pending,,
ISC Rating System,Westerly Konsort,,,pending,,
ISC Rating System,X 34 1.90,,,pending,,
ISC Rating System,Hanse 418,,,pending,,
ISC Rating System,Southerly 110,,,pending,,
ISC Rating System,Swan46 mk2,,,pending,,
ISC Rating System,Dehler 343,,,pending,,
ISC Rating System,Contessa 33,,,pending,,
ISC Rating System,Maxi 1300,,,pending,,
ISC Rating System,Dufour,,,pending,,
ISC Rating System,X-102,,,pending,,
ISC Rating System,X-Yachts Xc42,,,pending,,
ISC Rating System,Varianta Dehler 37,,,pending,,
ISC Rating System,FINNGULF 33,,,pending,,
ISC Rating System,Albin Nova,,,pending,,
ISC Rating System,Arcona 370,,,pending,,
ISC Rating System,Dufour 44,,,pending,,
ISC Rating System,Beneteau First 33.,,,pending,,
ISC Rating System,Sigma 38 OOD,,,pending,,
ISC Rating System,Twister 28,,,pending,,
ISC Rating System,British Hunter Cha,,,pending,,
ISC Rating System,F&C 44,,,pending,,
ISC Rating System,Dufour 36 Classic,,,pending,,
ISC Rating System,Beneteau First 375,,,pending,,
ISC Rating System,Beneteau First 32s,,,pending,,
ISC Rating System,Hanse 370,,,pending,,
ISC Rating System,DEHLER 29 1.58,,,pending,,
ISC Rating System,Oceanis 37,,,pending,,
ISC Rating System,SWAN 391 2.25,,,pending,,
ISC Rating System,Dehler 34,,,pending,,
ISC Rating System,X Yachts IMX40,,,pending,,
ISC Rating System,ELAN 450 2.25,,,pending,,
ISC Rating System,Jeanneau 45.2 Sun,,,pending,,
ISC Rating System,Jeanneau Sunshine,,,pending,,
ISC Rating System,Hanse 320,,,pending,,
ISC Rating System,Hanse 548,,,pending,,
ISC Rating System,Dehler 42,,,pending,,
ISC Rating System,Elan 31,,,pending,,
ISC Rating System,Beneteau Oceanis 4,,,pending,,
ISC Rating System,X-Yachts X4.3,,,pending,,
ISC Rating System,Bavaria Cruiser 37,,,pending,,
ISC Rating System,Bavaria 34,,,pending,,
ISC Rating System,Beneteau First 27,,,pending,,
ISC Rating System,Bavaria 37,,,pending,,
ISC Rating System,Dehler 36db,,,pending,,
ISC Rating System,Solaris 40,,,pending,,
ISC Rating System,Dufour 360,,,pending,,
ISC Rating System,Beneteau 50,,,pending,,
ISC Rating System,Hanse 445,,,pending,,
ISC Rating System,Twister,,,pending,,
ISC Rating System,Impala 35 S&S,,,pending,,
ISC Rating System,Hanse 348,,,pending,,
ISC Rating System,Arcona 400,,,pending,,
ISC Rating System,Jeanneau Rush 31,,,pending,,
ISC Rating System,Scanmar 33,,,pending,,
